name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
abhEri (Dikshitar School),,20,,,"S,M1,G2,M1,P,P,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
abhEri,,22,,"karNATaka dEvagAndhAri","S,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
abhirAmam,,49,,,"S,R1,M2,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M2,G2,R1,S",
abhiru,,47,,,"S,R1,G2,R1,M2,P,N3,Ṡ","Ṡ,D2,P,M2,G2,R1,G2,S",
abhOgi,,22,,,"S,R2,G2,M1,D2,Ṡ","Ṡ,D2,M1,G2,R2,S",
Adi kApi,,22,,,"S,R2,M1,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
Adi pancama,,51,,,"S,R1,P,D1,N3,Ṡ","Ṡ,N3,D1,N3,P,M2,G3,R1,S",
agnikopa,,22,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,R2,S",
Ahiri,,8,,,"S,R1,S,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R1,S","R2,G2,G3,D2,N3"
alankArapriya,,10,,,"S,R1,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R1,S",
alankAri,,53,,,"S,G3,M2,D2,N3,D2,Ṡ","Ṡ,N3,D2,M2,G3,S",
amarasEnapriya,,60,,,"S,R2,M2,P,N2,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
amarasindhu,,34,,,"S,R3,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G3,R3,S",
Ambhojini,,28,,,"S,R2,G3,M1,D2,Ṡ","Ṡ,D2,M1,G3,R2,S",
amrta BehAg,,65,,,"S,M2,G3,P,N3,S","D2,N3,D2,M2,G3,S",
amrtadhanyAsi,,8,,,"S,R1,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,R1,S",
amrtavAhiNi,,20,,,"S,R2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,M1,G2,R2,S",
amrtavarshiNi,,66,,,"S,G3,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G3,S",
amudagAndhAri,,32,,,"S,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R3,S",
amudasurabhi,,14,,,"S,M1,G3,M1,P,D1,Ṡ","Ṡ,N2,D1,P,M1,R1,S",
Anandabhairavi,,20,,,"S,G2,R2,G2,M1,P,D2,P,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
AnandarUpa,,29,,,"S,R2,G3,P,D2,N3,Ṡ","Ṡ,N3,D2,P,G3,R2,S",
Anandavalli,,57,,,"S,G2,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G2,S",
AndaLi,,28,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,R2,G3,M1,R2,S",
andOLika,,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,M1,R2,S",
aparUpam,,28,,,"S,R2,G3,M1,P,N2,D2,N2,Ṡ","Ṡ,D2,M1,G3,R2,G3,S",
aprameya,,65,,,"S,R2,M2,P,D2,Ṡ","Ṡ,N3,D2,M2,G3,M2,R2,S",
Arabhi,,29,,,"S,R2,M1,P,D2,Ṡ","S,D2,P,M1,G3,R2,S",
Arabhi,,29,,,"S,R2,M1,P,D2,S","Ṡ,N3,D2,P,M1,G3,R2,S",
ardhradEsi,,15,,,"S,R1,G3,M1,P,D1,N3,Ṡ","Ṡ,D1,P,M1,G3,R1,S",
aruNAngi,,45,,,"S,R1,M2,P,N3,D1,Ṡ","Ṡ,N3,D1,M2,R1,G2,R1,S",
Aryamati,,22,,,"S,R2,G2,P,D2,Ṡ","Ṡ,N2,D2,P,D2,M1,G2,R2,S",
asAveri,,8,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N2,S,P,D1,M1,P,R1,G2,R1,S",R2
aThAna,,29,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,M1,R2,S","G2,N2"
aymmukhan,,21,,,"S,G2,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G2,S",
ayodhya,,71,,,"S,G3,M2,P,N3,Ṡ","Ṡ,D2,P,M2,G3,M2,R3,S",
bAgeshrI,,22,,,"S,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,P,D2,G2,M1,R2,S",
bahudAri,,28,,,"S,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,P,M1,G3,S",
bAlacandrika,,22,,,"S,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R2,S",
balahamsa,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,R2,M1,G3,S",
bandhuvarALi,,45,,,"S,M2,S,N3,D1,P,M2","D1,M2,G2,R1,S",
bangAla,,29,,,"S,R2,G3,M1,P,M1,R2,P,Ṡ","Ṡ,N3,P,M1,R2,G3,M1,R2,S",
basant bahAr {Hindustani},,22,,,"S,M2,P,G3,M2,N3,D1,N3,S","R2,S,N2,D2,P,M1,G2,M1,G2,R2,S",
basant/Vasant {Hindustani},,51,,,"S,G3,M2,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G3,M2,N3,D1,M2,G3,R1,S",M1
bEgaDa,,29,,,"S,G3,R2,G3,M1,P,D2,P,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
behAg deSikam,,29,,,"S,R2,G3,M1,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M2,M1,G3,R2,S",
behAg,,29,,,"S,G3,M1,P,N3,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S","M2,N2"
bhadratODi,,8,,,"S,R1,G2,M1,D1,Ṡ","Ṡ,N2,D1,P,G2,S",
bhAgavatapriya,,22,,,"S,R2,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
bhagavataranjana,,64,,,"S,R2,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G3,R2,S",
bhagavatpriya,,22,,,"S,R2,G2,M1,R2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R2,S",
bhAgyashabari,,10,,,"S,R1,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R1,S",
bhairavam,,17,,,"S,R1,G3,M1,P,D2,N3,Ṡ","Ṡ,D2,P,M1,G3,R1,S",
bhairavi,,20,,,"S,G2,R2,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
bhaktapriya,,16,,,"S,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R1,M1,G3,S",
bhAnucandrika,,8,,,"S,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G1,S",
bhAnudhanyAsi,,45,,,"S,R1,G2,M2,N3,D1,N3","D1,P,M2,G2,R1,S,N3,S",
bhAnukIravAni,,45,,,"S,R1,G2,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,M2,G2,R1,S",
bhAnumanjari,,34,,,"S,R3,G3,M1,P,N2,Ṡ","Ṡ,N2,P,M1,R3,G3,R3,S",
bhAnumati,,4,,,"N2,S,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
bhAnupriya,,21,,,"S,R2,G2,D1,N3,Ṡ","Ṡ,N3,D1,G2,R2,S",
bhArati,,19,,,"S,R2,G2,M1,P,Ṡ","Ṡ,P,M1,G2,R2,S",
bhAshiNi,,56,,,"S,G2,R2,G2,M2,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M2,G2,R1,S",
bhaTiyAr {Hindustani},,53,,,"S,D2,P,D2,M2,P,G3,M2,D2,S","R1,N3,D2,P,M2,P,G3,R1,S",M1
bhauli rAmakriya,,15,,,"S,R1,G3,P,D1,Ṡ","Ṡ,N3,P,D1,P,M1,G3,R1,S",
bhauli,,15,,,"S,R1,G3,P,D1,Ṡ","Ṡ,N3,D1,P,G3,R1,S",
bhavAni,,44,,,"S,R1,G2,M2,D1,N2,S","S,N2,D1,M2,G2,R1,S",
bhavAni,,44,,,"S,R1,G2,M2,P,D1,P,N2,Ṡ","Ṡ,N2,D1,P,M2,G2,R1,S",
bhavapriya,44,NULL,Vasu,,"S,R1,G2,M2,P,D2,N3,S","S,N3,D2,P,M2,G2,R1,S",
bhAvini,,15,,,"S,G3,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,S",
bhImpalasi {Hindustani},,22,,,"N2,S,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
bhinnapancamam,,3,,,"S,R1,G1,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G1,R1,S",
bhinnapauarali,,49,,,"S,M2,P,D1,N1,D1,Ṡ","Ṡ,N1,D1,P,M2,G3,S",
bhinnashadjam,,9,,,"S,R1,G2,R1,P,M1,P,N3,Ṡ","Ṡ,D1,P,M1,G2,R1,S",
bhOgachhAyA nATa,,34,,,"S,R3,G3,R3,G3,M1,P,N2,N2,Ṡ","Ṡ,N2,D2,N2,P,S,N2,P,M1,M1,R3,S",
bhOgasAveri,,37,,,"S,R1,M2,D1,N1","D1,P,M2,G1,R1,S",
bhOgavasanta,,51,,,"S,R1,G3,M2,D1,N3,Ṡ","Ṡ,N3,D1,M2,G3,R1,S",
bhOgi,,7,,,"S,G2,M1,P,D1,N1,D1,Ṡ","Ṡ,N1,D1,P,M1,G2,S",
bhOgISvari,,64,,,"S,R2,G3,P,D2,N2,D2,Ṡ","Ṡ,N2,D2,P,M2,G3,R2,S",
bhujAngini,,16,,,"S,R1,G3,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G3,R1,S",
bhUpAlam,,8,,,"S,R1,G2,P,D1,Ṡ","Ṡ,D1,P,G2,R1,S",
bhUpAlapancamam,,39,,,"S,G1,R1,G1,P,M2,D1,Ṡ","Ṡ,P,D1,M2,G1,R1,S",
bhUpAli {Hindustani},,65,,,"S,R2,G3,P,D2,Ṡ","Ṡ,D2,P,G3,R2,S",
bhUpkaLyANi,,65,,,"S,R2,G3,P,D2,Ṡ","Ṡ,N3,D2,P,M2,G3,R2,S",
bhUshAvali,,64,,,"S,R2,G3,M2,P,D2,Ṡ","Ṡ,N2,D2,P,M2,G3,R2,S",
bhUshAvati,,64,,,"S,R2,G3,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G3,R2,S",
bhuvanagAndhAri,,20,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,S",
bibhAs {Hindustani},,15,,,"S,R1,G3,P,D1,Ṡ","Ṡ,D1,P,M1,R1,S",
bilahari,,29,,,"S,R2,G3,P,D2,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",N2
bindumAlini,,16,,,"S,G3,R1,G3,M1,P,N2,Ṡ","Ṡ,N2,S,D2,P,G3,M1,P,G3,R1,S",
brindAvana sAranga {Hindustani},,22,,,"S,R2,M1,P,N3,Ṡ","Ṡ,N2,P,M1,R2,G2,R2,S",N3
brindAvani {Hindustani},,22,,,"S,R2,M1,P,N3,Ṡ","Ṡ,N2,P,M1,R2,S",N3
buddhamanOhari,,29,,,"S,R2,G3,M1,S,P,Ṡ","Ṡ,P,M1,G3,R2,S",
buddharanjani,,29,,,"S,R2,G3,M1,P,Ṡ","Ṡ,N3,P,M1,G3,M1,R2,S",
cakranArAyaNi,,16,,,"S,R1,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R1,S",
cakrapradipta,,22,,,"S,R2,G2,M1,P,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,S",
cakravAkam,16,NULL,Agni,,"S,R1,G3,M1,P,D2,N2,S","S,N2,D2,P,M1,G3,R1,S",
calanATa,36,NULL,Rutu,,"S,R3,G3,M1,P,D3,N3,S","S,N3,D3,P,M1,G3,R3,S",
cAmaram,,56,,,"S,R2,M2,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M2,G2,R2,S",
candracUda,,15,,,"S,M1,G3,M1,P,D1,Ṡ","Ṡ,N3,D1,P,M1,G3,S",
candrahasitam,,28,,,"S,R2,G3,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G3,R2,S",
candrajyoti,,41,,,"S,R1,G1,M2,P,D2,Ṡ","Ṡ,D2,P,M2,G1,R1,S",
candrakAnta,,65,,,"S,R2,G3,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,N3,P,M2,G3,R2,S",
candrarekhA,,57,,,"S,R2,G2,M2,P,D2,Ṡ","Ṡ,N2,D2,M2,G2,R2,S",
candrika,,21,,,"S,R2,G2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,G2,R2,S",
candrikatODi,,8,,,"S,G2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,G2,S",
capagantarva,,20,,,"S,G2,M1,P,N2","D1,M1,G2,R2,S,N2",
cArukEsi,26,NULL,Bana,,"S,R2,G3,M1,P,D2,N2,S","S,N2,D2,P,M1,G3,R2,S",
chAruvardhani,,15,,,"S,R1,M1,P,D1,N3,Ṡ","Ṡ,D1,P,M1,G3,R1,S",
chaturAngini,,66,,,"S,R2,G3,M2,P,N3,Ṡ","Ṡ,N3,D3,N3,P,G3,M2,G3,R2,S",
chenjurutti,,28,,,"D2,S,R2,G3,M1,P,D2,N2","N2,D2,P,M1,G3,R2,S,N2,D2,P,D2,S",G2
chhAyA,,29,,,"S,P,M1,P,D2,P,N3,R2,Ṡ","Ṡ,D2,P,M1,P,D2,P,G3,M1,R2,S",
chhAyagauLa,,15,,,"S,R1,M1,G3,M1,P,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
chhAyalagakhamAs,,28,,,"S,M1,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
chhAyanATa,,34,,,"S,R3,G3,M1,P,M1,P,Ṡ","Ṡ,N2,D2,N2,P,M1,R3,S",
chhAyaranjani,,45,,,"S,G2,M2,P,N2,Ṡ","Ṡ,N2,D1,P,M2,G2,S",
chhAyashankarAbharaNam,,29,,,"S,R1,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R1,S",
chhAyatArangini,,28,,,"S,R2,M1,G3,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
chhAyAvati,,17,,,"S,R1,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R1,S",
chirsvarUpi,,26,,,"S,R2,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R2,S",
cintAmaNi,,56,,,"S,G2,R2,G2,M2,G2,R2,G2,P,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G2,R2,S",
cintaramaNi,,52,,,"S,G3,M2,P,D2,N2,Ṡ","Ṡ,D2,P,M2,G3,R1,S",
citracandrika,,63,,,"S,G3,R2,G3,M2,P,N3,D1,Ṡ","Ṡ,N3,D1,M2,G3,R2,S",
citramani,,11,,,"S,R1,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R1,S",
citrAmbari,66,NULL,Rudra,,"S,R2,G3,M2,P,D2,N3,S","S,N3,D2,P,M2,G3,R2,S",
citrasindhu,,66,,,"S,G3,M2,P,N3,Ṡ","Ṡ,N3,D3,P,M2,G3,R2,S",
cittakarSiNi,,7,,,"S,R1,G2,M1,D1,Ṡ","Ṡ,D1,M1,G2,R1,S",
cittaranjani,,19,,,"S,R2,G2,M1,P,D1,N1","N1,D1,P,M1,G2,R2,S",
cUrnikavinOdini,,66,,,"S,R2,G3,M2,P,D3,N3,Ṡ","Ṡ,N3,D3,N3,P,M2,G3,R2,S",
dahAna (Original),,22,,,"S,R2,G2,M1,P,M1,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,G2,R2,G2,R2,S",G3
dahAna,,28,,,"S,R2,G3,M1,P,M1,D2,N2,Ṡ","Ṡ,N2,S,D2,N2,D2,P,M1,G3,M1,R2,G3,R2,S",
dajjananandhi,,63,,,"S,R2,G3,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,M2,G3,R2,S",
dAlagabhairavi,,22,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
dalanganAta,,15,,,"S,R1,M1,P,D1,Ṡ","Ṡ,D1,P,G3,R1,S",
dalavi,,27,,,"S,G3,R2,G3,M1,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M1,G3,R2,S",
dallapa,,14,,,"S,G3,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G3,S",
dAmakannada,,17,,,"S,R2,M1,G2,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,R1,S",
dAmanta,,30,,,"S,R2,G3,M1,P,D3,N3,Ṡ","Ṡ,N3,D3,N3,D3,P,M1,G3,R2,S",
dAmantadIpara,,15,,,"S,R1,G3,M1,P,N3,Ṡ","Ṡ,N3,P,M1,G3,R1,S",
dAmantajingala,,32,,,"S,R3,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,P,D1,N2,P,M1,G3,M1,R3,G3,S",
dAmapriya,,21,,,"S,R2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,R2,S",
Damarugapriya,,31,,,"S,R3,G3,P,D1,N1,Ṡ","Ṡ,N1,D1,P,G3,R3,S",
dAmavarALi,,3,,,"S,R1,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G1,R1,G1,S",
damudrapriya,,56,,,"S,G2,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G2,S",
dangrama,,22,,,"S,R2,M1,D2,N2,P,Ṡ","Ṡ,N2,D2,G2,R2,S",
dankari,,29,,,"S,G3,P,N3,Ṡ","Ṡ,N3,P,G3,S",
dankrAndanapriya,,22,,,"S,R2,G2,P,D2,Ṡ","Ṡ,D2,P,G2,R2,S",
danthAna Manjari,,67,,,"S,R3,G3,M2,P,D1,Ṡ","Ṡ,N1,D1,P,M2,R3,S",
dAramati,,20,,,"S,R2,G2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,M1,G2,S",
dArang {Hindustani},,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,R2,S",
dAranga,,65,,,"S,P,M2,P,D2,N3,Ṡ","S,N3,D2,P,M2,R2,G3,M1,R2,S",M1
darbAr,,22,,,"S,R2,M1,P,D2,N2,S","R2,S,N2,S,D2,P,M1,R2,G2,G2,R2,S",
darbAri kAnaDa,,20,,,"N2,S,R2,G2,R2,S,M1,P,D1,N2,Ṡ","Ṡ,D1,N2,P,M1,P,G2,M1,R2,S",
daSarathipriya,,28,,,"S,M1,G3,M1,P,D2,N2,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,M1,R2,S",
dayaranjani,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,M1,G3,S",
dayavati,,22,,,"S,R2,G2,P,N2,Ṡ","Ṡ,N2,P,M1,G2,S",
dESAkshi,,28,,,"S,R2,G3,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
dESamukhAri,,48,,,"S,R1,G2,M2,P,D3,N3,D3,Ṡ","Ṡ,D3,N3,D3,P,M2,G2,R1,S",
dESaranjani,,31,,,"S,R3,M1,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M1,R3,S",
deSAvali,,55,,,"S,R2,G2,M2,D1,N1,D1,Ṡ","Ṡ,N1,D1,M2,G2,R2,S",
dEsh {Hindustani},,28,,,"S,R2,M1,P,N3,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",N3
dESikatODi,,8,,,"S,G2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
deSisimhAravam,,57,,,"S,R2,G2,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G2,R2,S",
dESyagAnavaridhi,,60,,,"S,R2,G2,M2,P,D3,N3,P,Ṡ","Ṡ,N3,S,P,M2,G2,R2,S",
dESyagauLa,,15,,,"S,R1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,R1,S",
dESyatODi,,31,,,"S,G2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
dEvagAndhAri,,29,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",N2
dEvakriya,,20,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D1,N2,P,M1,G2,R2,S",
dEvaManOhari,,22,,,"S,R2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,R2,S",
dEvamrtavarshiNi,,22,,,"S,R2,G2,M1,N2,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
dEvanATa,,36,,,"S,G3,M1,P,Ṡ","Ṡ,N3,D3,P,M1,G3,R3,S",
dEvaranji,,15,,,"S,M1,P,D1,P,N3,Ṡ","Ṡ,N3,D1,P,M1,S",
dEvasalaga,,25,,,"S,G3,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M1,G3,R2,S",
dEvipriya,,14,,,"S,G3,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R1,S",
dhAlivarALi,,39,,,"S,R1,G1,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G1,R1,S",
dhanakApi,,22,,,"S,R2,M1,P,N2,S,(Varies)","S,N2,D2,N2,P,M1,G2,R2,S",
dhanakAri,,56,,,"S,G2,P,D1,N2,Ṡ","Ṡ,N2,D1,M2,G2,S",
dhanaSrI,,20,,,"N2,S,G2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
dhanyAsi,,8,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
dharmalakhi,,29,,,"S,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,S",
dharmaprakASiNi,,20,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D1,M1,G2,R2,S",
dharmavati,59,NULL,Disi,,"S,R2,G2,M2,P,D2,N3,S","S,N3,D2,P,M2,G2,R2,S",
dharmiNi,,49,,,"S,R1,G3,M2,D1,N1,Ṡ","Ṡ,N1,D1,M2,G3,R1,S",
dhAtuvardani,69,NULL,Aditya,,"S,R3,G3,M2,P,D1,N3,S","S,N3,D1,P,M2,G3,R3,S",
dhaumya,,32,,,"S,R3,G3,M1,P,D1,N2,P,Ṡ","Ṡ,N2,D1,P,M1,G3,R3,S",
dhaureyani,,45,,,"S,R1,G2,M2,N3,Ṡ","Ṡ,N3,D1,P,M2,G2,R1,S",
dhautha Pancamam,,69,,,"S,R3,G3,M2,P,N3,P,Ṡ","Ṡ,N3,D1,P,M2,R3,G3,M2,R3,S",
dhavaLAmbari,49,NULL,Brahma,,"S,R1,G3,M2,P,D2,N3,S","S,N3,D2,P,M2,G3,R1,S",
dhavalAngam,,49,,,"S,R1,G3,M2,P,D1,Ṡ","Ṡ,N1,D1,P,M2,G3,R1,S",
dhENuka,9,NULL,Netra,,"S,R1,G2,M1,P,D1,N3,S","S,N3,D1,P,M1,G2,R1,S",
dhIrahindoLam,,35,,,"S,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R3,S",
